headword	CEFR
primary school	B1
primitive	B1
principle	B1
print	B1
prison	B1
prisoner	B1
privacy	B1
prize	B1
probability	B1
proceed	B1
process	B1
proclaim	B1
procrastination	B1
producer	B1
productive	B1
profession	B1
professor	B1
program/programme	B1
progress	B1
prohibition	B1
prominent	B1
promise	B1
promote	B1
promotion	B1
pronoun	B1
proof	B1
properly	B1
property	B1
proportion	B1
proposal	B1
propose	B1
prosperity	B1
prosperous	B1
protect	B1
protection	B1
protective	B1
protest	B1
proud	B1
prove	B1
proverb	B1
provided	B1
psychological	B1
pub	B1
public	B1
public transport	B1
publicly	B1
publisher	B1
pullover	B1
pump	B1
punish	B1
punishment	B1
pupil	B1
puppy	B1
pure	B1
purify	B1
purse	B1
push	B1
puzzle	B1
quake	B1
qualified	B1
qualify	B1
quality	B1
quantity	B1
question mark	B1
questionnaire	B1
queue	B1
race	B1
race	B1
racial	B1
radiation	B1
rage	B1
rail	B1
railroad	B1
railway	B1
rainfall	B1
rainforest	B1
rank	B1
rap	B1
rapid	B1
rapidly	B1
rare	B1
rarely	B1
raspberry	B1
ration	B1
rational	B1
razor	B1
reach	B1
react	B1
realistic	B1
reality	B1
rearrange	B1
reasonable	B1
rebuild	B1
recall	B1
reception	B1
recite	B1
reclaim	B1
recognize/recognise	B1
recommend	B1
record	B1
recording	B1
recover	B1
recovery	B1
recycled	B1
recycling	B1
reduce	B1
reduction	B1
reef	B1
referee	B1
reflection	B1
refreshments	B1
refund	B1
refusal	B1
refuse	B1
refuse	B1
regain	B1
regard	B1
regarding	B1
region	B1
regional	B1
register	B1
register	B1
registration	B1
regulation	B1
reject	B1
relate	B1
relation	B1
relationship	B1
relative	B1
relative	B1
relatively	B1
relaxing	B1
release	B1
reliable	B1
religion	B1
religious	B1
rely	B1
remainder	B1
remark	B1
remarkable	B1
remedy	B1
remembrance	B1
remote control	B1
remove	B1
renew	B1
repay	B1
repeatedly	B1
reply	B1
report	B1
representative	B1
reproduce	B1
republic	B1
reputation	B1
request	B1
require	B1
requirement	B1
rescue	B1
rescue	B1
researcher	B1
resemble	B1
reservation	B1
reserve	B1
reserve	B1
resident	B1
residential	B1
resist	B1
resolve	B1
resort	B1
resource	B1
respect	B1
respect	B1
respectable	B1
respond	B1
responsibility	B1
responsible	B1
rest	B1
rest	B1
restore	B1
restrict	B1
result	B1
retail	B1
retain	B1
retell	B1
retrospect	B1
reunification	B1
reunify	B1
revise	B1
revision	B1
reward	B1
rewrite	B1
rid	B1
riddle	B1
ridiculous	B1
ripe	B1
rise	B1
rise	B1
risk	B1
roadside	B1
robot	B1
rolling	B1
room	B1
rotten	B1
rough	B1
round	B1
round	B1
routine	B1
rubber	B1
rubbish	B1
rudely	B1
ruin	B1
runaway	B1
runway	B1
rush	B1
sacred	B1
sadness	B1
safari	B1
safeguard	B1
safely	B1
safety	B1
salesman	B1
salmon	B1
sand	B1
sandal	B1
satellite	B1
satisfaction	B1
satisfied	B1
saucepan	B1
saucer	B1
scan	B1
scare	B1
scared	B1
scary	B1
scatter	B1
scenic	B1
scholar	B1
scholarship	B1
schoolmate	B1
schoolteacher	B1
science fiction	B1
scold	B1
scope	B1
score	B1
score	B1
scratch	B1
scream	B1
sculpture	B1
search	B1
season	B1
seawater	B1
seaweed	B1
second	B1
secondary school	B1
second-hand	B1
second-hand	B1
secret	B1
secretly	B1
secure	B1
security	B1
seize	B1
select	B1
selection	B1
selfish	B1
self-service	B1
sensation	B1
separation	B1
sequence	B1
series	B1
serious	B1
server	B1
service	B1
service	B1
session	B1
setting	B1
settle	B1
settlement	B1
settler	B1
severe	B1
severely	B1
sex	B1
shadow	B1
shadowy	B1
shake	B1
shallow	B1
shame	B1
